"Fecha","ERE.SG.Open","ERE.SG.High","ERE.SG.Low","ERE.SG.Close","ERE.SG.Volume","ERE.SG.Adjusted"
2023-02-09,332,332,332,332,0,326.981658935547
2023-02-10,350,350,350,350,0,344.709564208984
2023-02-13,352,354.200012207031,352,354.200012207031,0,348.846069335938
2023-02-14,352,352,352,352,0,346.679321289062
2023-02-15,350,350,350,350,0,344.709564208984
2023-02-16,356,356,356,356,0,350.618835449219
2023-02-17,354,358,354,358,0,352.588623046875
2023-02-20,358,358,358,358,0,352.588623046875
2023-02-21,358,358,358,358,0,352.588623046875
2023-02-22,356,356,354,356,0,350.618835449219
2023-02-23,356,356,356,356,0,350.618835449219
2023-02-24,354,356,354,354,0,348.649047851562
2023-02-27,364,368,364,368,10,362.437469482422
2023-02-28,358,358,358,358,0,352.588623046875
2023-03-01,360,364,360,364,0,358.497924804688
2023-03-02,364,364,364,364,0,358.497924804688
2023-03-03,356,360,356,358,0,352.588623046875
2023-03-06,356,356,356,356,0,350.618835449219
2023-03-07,354,354,354,354,0,348.649047851562
2023-03-08,360,362,360,362,0,356.528167724609
2023-03-09,358,358,358,358,0,352.588623046875
2023-03-10,342,342,338,338,0,332.890930175781
2023-03-13,340,346,340,346,25,340.769989013672
2023-03-14,320,320,320,320,0,315.163024902344
2023-03-15,328,328,328,328,0,324.716400146484
2023-03-16,320,320,320,320,0,316.796508789062
2023-03-17,330,330,330,330,0,326.696380615234
2023-03-20,308,322,308,322,0,318.776458740234
2023-03-21,322,330,322,328,0,324.716400146484
2023-03-22,326,326,322,322,0,318.776458740234
2023-03-23,318,320,314,316,0,312.836547851562
2023-03-24,312,318,312,318,0,314.816528320312
2023-03-27,318,326,318,326,30,322.736450195312
2023-03-28,320,324,320,324,0,320.756439208984
2023-03-29,326,326,326,326,0,322.736450195312
2023-03-30,328,328,326,326,0,322.736450195312
2023-03-31,324,328,324,328,0,324.716400146484
2023-04-03,330,330,328,328,0,324.716400146484
2023-04-04,330,330,326,326,0,322.736450195312
2023-04-05,324,324,324,324,0,320.756439208984
2023-04-06,330,330,326,326,0,322.736450195312
2023-04-11,NA,NA,NA,NA,NA,NA
2023-04-12,330,330,330,330,0,326.696380615234
2023-04-13,330,330,328,328,0,324.716400146484
2023-04-14,324,324,324,324,0,320.756439208984
2023-04-17,324,324,324,324,0,320.756439208984
2023-04-18,330,330,330,330,0,326.696380615234
2023-04-19,334,334,334,334,0,330.656341552734
2023-04-20,338,342,338,340,0,336.596252441406
2023-04-21,340,340,340,340,0,336.596252441406
2023-04-24,332,334,332,334,0,330.656341552734
2023-04-25,332,336,332,336,0,332.636322021484
2023-04-26,334,334,332,332,0,328.676391601562
2023-04-27,332,338,332,338,0,334.616302490234
2023-04-28,336,340,336,340,0,336.596252441406
2023-05-02,342,346,342,346,0,342.536193847656
2023-05-03,344,344,344,344,0,340.556243896484
2023-05-04,336,338,334,334,0,330.656341552734
2023-05-05,334,344,334,344,0,340.556243896484
2023-05-08,336,346,336,346,0,342.536193847656
2023-05-09,346,348,346,348,0,344.516204833984
2023-05-10,346,346,346,346,0,342.536193847656
2023-05-11,348,348,348,348,0,344.516204833984
2023-05-12,350,354,350,354,0,350.456115722656
2023-05-15,352,352,352,352,0,348.476165771484
2023-05-16,348,348,348,348,0,344.516204833984
2023-05-17,332,340,332,340,10,336.596252441406
2023-05-18,338,338,338,338,0,334.616302490234
2023-05-19,346,348,346,348,0,344.516204833984
2023-05-22,344,344,344,344,0,340.556243896484
2023-05-23,NA,NA,NA,NA,NA,NA
2023-05-24,336,336,334,334,0,330.656341552734
2023-05-25,332,332,332,332,0,328.676391601562
2023-05-26,332,332,332,332,0,328.676391601562
2023-05-29,324,324,324,324,0,320.756439208984
2023-05-30,322,322,322,322,0,320.408203125
2023-05-31,324,324,316,318,0,316.427978515625
2023-06-01,NA,NA,NA,NA,NA,NA
2023-06-02,312,320,312,320,0,318.418090820312
2023-06-05,318,318,318,318,0,316.427978515625
2023-06-06,318,324,318,324,0,322.398315429688
2023-06-07,324,326,324,326,0,324.388427734375
2023-06-08,322,322,316,316,0,314.437866210938
2023-06-09,314,320,314,320,0,318.418090820312
2023-06-12,NA,NA,NA,NA,NA,NA
2023-06-13,312,312,310,310,0,308.467529296875
2023-06-14,318,318,318,318,0,316.427978515625
2023-06-15,314,314,312,312,0,310.457641601562
2023-06-16,312,318,312,318,0,316.427978515625
2023-06-19,318,318,318,318,0,316.427978515625
2023-06-20,318,322,318,322,0,320.408203125
2023-06-21,320,322,320,320,0,318.418090820312
2023-06-22,316,322,316,322,0,320.408203125
2023-06-23,320,320,316,316,0,314.437866210938
2023-06-26,316,316,312,312,0,310.457641601562
2023-06-27,310,310,310,310,0,308.467529296875
2023-06-28,306,306,306,306,0,304.4873046875
2023-06-29,302,302,302,302,0,300.507080078125
2023-06-30,310,310,310,310,0,308.467529296875
2023-07-03,310,312,310,312,0,310.457641601562
2023-07-04,310,310,310,310,0,308.467529296875
2023-07-05,310,312,310,312,0,310.457641601562
2023-07-06,308,312,308,312,0,310.457641601562
2023-07-07,312,320,312,318,35,316.427978515625
2023-07-10,318,318,318,318,0,316.427978515625
2023-07-11,314,314,314,314,0,312.44775390625
2023-07-12,316,316,316,316,0,314.437866210938
2023-07-13,314,314,314,314,0,312.44775390625
2023-07-14,312,312,312,312,0,310.457641601562
2023-07-17,312,320,312,320,0,318.418090820312
2023-07-18,318,318,316,316,0,314.437866210938
2023-07-19,318,318,318,318,0,316.427978515625
2023-07-20,316,316,316,316,0,314.437866210938
2023-07-21,326,330,326,330,0,328.36865234375
2023-07-24,326,334,326,334,0,332.348876953125
2023-07-25,332,332,332,332,0,330.358764648438
2023-07-26,328,330,328,330,0,328.36865234375
2023-07-27,326,330,326,330,0,328.36865234375
2023-07-28,324,324,324,324,0,322.398315429688
2023-07-31,322,322,322,322,0,320.408203125
2023-08-01,324,324,324,324,0,322.398315429688
2023-08-02,322,328,322,328,0,326.378540039062
2023-08-03,326,330,326,330,0,328.36865234375
2023-08-04,328,336,326,326,0,324.388427734375
2023-08-07,NA,NA,NA,NA,NA,NA
2023-08-08,322,322,322,322,0,320.408203125
2023-08-09,312,312,312,312,0,310.457641601562
2023-08-10,326,326,326,326,0,324.388427734375
2023-08-11,324,324,322,324,0,322.398315429688
2023-08-14,322,322,322,322,0,320.408203125
2023-08-15,322,324,322,324,0,322.398315429688
2023-08-16,322,322,322,322,0,320.408203125
2023-08-17,324,324,318,318,0,316.427978515625
2023-08-18,318,320,318,320,0,318.418090820312
2023-08-21,316,318,316,318,0,316.427978515625
2023-08-22,316,320,316,318,100,316.427978515625
2023-08-23,318,318,318,318,0,316.427978515625
2023-08-24,322,328,322,328,0,326.378540039062
2023-08-25,330,336,326,326,100,324.388427734375
2023-08-28,324,326,322,322,0,320.408203125
2023-08-29,322,330,322,328,0,326.378540039062
2023-08-30,328,332,328,332,0,330.358764648438
2023-08-31,330,330,330,330,0,328.36865234375
2023-09-01,330,332,330,332,0,330.358764648438
2023-09-04,338,338,338,338,0,336.3291015625
2023-09-05,338,338,338,338,0,336.3291015625
2023-09-06,336,336,336,336,0,334.338989257812
2023-09-07,338,340,338,340,0,338.319213867188
2023-09-08,340,340,340,340,0,338.319213867188
2023-09-11,344,348,344,348,0,346.279663085938
2023-09-12,348,352,348,348,0,346.279663085938
2023-09-13,346,350,346,350,200,348.269775390625
2023-09-14,346,346,346,346,0,344.28955078125
2023-09-15,354,354,354,354,0,352.25
2023-09-18,352,358,352,358,0,358
2023-09-19,356,360,356,360,0,360
2023-09-20,360,364,360,364,0,364
2023-09-21,364,366,364,366,0,366
2023-09-22,366,366,366,366,0,366
2023-09-25,366,366,366,366,0,366
2023-09-26,364,364,364,364,0,364
2023-09-27,364,364,364,364,0,364
2023-09-28,360,360,360,360,0,360
2023-09-29,358,358,358,358,0,358
2023-10-02,350,354,348,354,0,354
2023-10-03,356,356,356,356,0,356
2023-10-04,352,362,352,362,0,362
2023-10-05,364,364,364,364,0,364
2023-10-06,364,364,364,364,0,364
2023-10-09,366,366,366,366,0,366
2023-10-10,366,366,366,366,0,366
2023-10-11,360,368,360,368,0,368
2023-10-12,368,368,368,368,0,368
2023-10-13,370,370,370,370,0,370
2023-10-16,376,384,376,384,10,384
2023-10-17,380,380,380,380,0,380
2023-10-18,382,386,382,386,0,386
2023-10-19,382,384,380,380,0,380
2023-10-20,376,376,374,374,0,374
2023-10-23,372,372,372,372,0,372
2023-10-24,362,370,362,370,0,370
2023-10-25,372,378,372,376,0,376
2023-10-26,372,372,364,364,0,364
2023-10-27,362,364,362,362,0,362
2023-10-30,364,364,364,364,0,364
2023-10-31,368,368,368,368,0,368
2023-11-01,374,378,370,370,0,370
